GeneSymbol;DatasetID;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
CDH3;GSE62165;3.02386616;8.120962831;9.948989461;9.96E-18;1.61E-16;29.63468147;11739128_a_at
CEACAM1;GSE62165;3.290988697;7.506901155;11.03465005;1.92E-20;4.73E-19;35.83002645;11723282_a_at
CEACAM6;GSE16515;4.113550896;11.4818257;6.562210996;2.60E-08;5.00E-06;8.959612961;211657_at
CLDN18;GSE16515;5.040144084;8.075462326;7.105229889;3.58E-09;1.32E-06;10.85443654;214135_at
COL10A1;GSE62165;5.033361606;10.22263085;15.93906994;1.66E-32;4.01E-30;63.38725747;11735218_at
COL11A1;GSE62165;5.990257625;9.374538088;14.70666794;1.49E-29;1.75E-27;56.63831102;11725766_x_at
COL12A1;GSE62165;3.614968112;7.045286855;11.8619163;1.62E-22;5.55E-21;40.56750447;11751896_a_at
COL1A1;GSE62165;4.287787766;8.024008565;15.33298676;4.61E-31;7.83E-29;60.08832525;11746872_a_at
COL1A2;GSE15471;4.044033952;10.77724951;11.96461176;2.25E-19;4.24E-16;33.59149195;202404_s_at
COL3A1;GSE15471;3.162959527;11.69934375;11.27426748;4.38E-18;4.82E-15;30.70085428;201852_x_at
COL5A2;GSE62165;3.374580376;10.37912596;15.51784544;1.66E-31;3.21E-29;61.09878374;11739134_a_at
