GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
COPS3;-0.318643916;6.184400499;-5.650544427;9.56E-08;2.19E-06;7.475452934;8013094
COPS4;0.045255995;5.09651165;0.686714694;0.493478449;0.611991207;-6.425639027;8096098
COPS5;0.058448225;5.300262328;1.291633451;0.198762339;0.305945358;-5.83730051;8151136
COPS6;0.10596117;7.422785597;2.378706169;0.01881974;0.046263632;-3.914105828;8134699
COPS7A;0.213787332;5.555769497;4.310257407;3.18E-05;0.000258199;1.9425634;7953395
COPS7B;0.150527706;4.886592965;3.888205699;0.000159877;0.000948577;0.426188812;8049088
COPS8;0.330984739;4.984298371;3.943154368;0.000130408;0.000803513;0.616754051;8049478
COPS9;-0.156740045;4.820855083;-3.465939928;0.000715296;0.003244411;-0.96621643;8060086
COPZ1;-0.048021618;7.264507454;-0.792123117;0.429723471;0.552665215;-6.348696583;7955896
COPZ2;0.115145323;6.256343214;1.315272237;0.190719963;0.296415357;-5.807151457;8016390
COQ10A;-0.371683595;4.738329183;-6.44828126;2.00E-09;9.44E-08;11.19434524;7956242
COQ10B;0.210689663;5.834713427;2.616908868;0.009918037;0.027559755;-3.351585137;8047217
COQ2;-0.027085476;5.340657201;-0.619160546;0.53688776;0.6500637;-6.469223735;8101437
COQ3;0.029908982;3.100854342;0.649504818;0.517151338;0.632445297;-6.450200348;8128383
COQ4;-0.257783259;5.599128136;-4.635957095;8.49E-06;8.88E-05;3.191993744;8158214
COQ5;0.016802801;5.064733161;0.351998217;0.725406191;0.806448319;-6.597584159;7967072
COQ6;0.126387054;4.462488662;2.908552992;0.004267853;0.013835369;-2.597648288;7975661
COQ7;-0.101086293;5.271776979;-2.922163728;0.004096759;0.013369575;-2.560748645;7993608
COQ8A;-0.548274137;5.307888317;-6.154318169;8.58E-09;3.03E-07;9.792632193;7910164
COQ8B;0.072750473;4.511734401;1.564743929;0.120059694;0.205607552;-5.456688056;8036938
COQ9;-0.071590836;5.777449336;-1.654679361;0.100387749;0.178418105;-5.315998096;7996041
CORIN;0.910988128;3.852322559;6.824563631;2.97E-10;1.89E-08;13.03607125;8100154
CORO1A;0.008810145;5.238667938;0.083067915;0.933924556;0.9564827;-6.655553054;7994769
CORO1B;0.083506984;5.548252751;2.036770068;0.043691424;0.09143318;-4.635045648;7949776
CORO1C;0.590820856;7.285671696;5.392105962;3.15E-07;5.88E-06;6.3326183;7966135
CORO2A;0.814078146;4.10986275;8.11113284;3.18E-13;7.50E-11;19.65902046;8162744
CORO2B;-0.172717794;3.955997759;-2.995080883;0.003282677;0.011157952;-2.360504973;7984475
CORO6;0.02796067;3.916656314;0.665058257;0.50718443;0.624051408;-6.440099152;8013947
CORO7;0.134671138;4.857590464;2.96731595;0.003573263;0.011960261;-2.437259853;7999120
CORO7-PAM16;-0.235413028;5.272614413;-3.648610155;0.000379704;0.001934363;-0.379778259;7999112
COTL1;0.043497574;6.746166514;0.797850909;0.426403437;0.549839487;-6.344204268;8003171
COX10;-0.179459546;4.814227247;-3.719312044;0.000295345;0.001569189;-0.146225808;8005089
COX11;0.000885353;5.177079854;0.012958238;0.98968086;0.993021051;-6.658890207;8016825
COX14;-0.011878468;4.38742808;-0.236294301;0.813574015;0.872400596;-6.631301929;7955358
COX15;0.127729356;5.394299103;2.793789085;0.005993003;0.018312289;-2.902749021;7935647
COX17;0.059625735;5.240692668;1.100700386;0.273049037;0.390867734;-6.061219537;8089795
COX18;-0.092610644;5.709768972;-1.563873655;0.120263999;0.205853823;-5.458012538;8100893
COX19;0.094341732;4.345898201;1.792272712;0.075401376;0.141916207;-5.086211415;8137693
COX20;-0.131719077;6.439918748;-2.657524303;0.008853247;0.025080686;-3.250843286;7911085
COX4I1;-0.106443624;5.729851405;-2.046106006;0.042750344;0.089866258;-4.616743698;7997702
COX4I2;-0.132919432;3.901685649;-2.641335692;0.009264617;0.02604559;-3.291164078;8061572
COX5A;-0.276034447;7.063501718;-4.315407461;3.12E-05;0.00025373;1.961797593;7990436
COX5B;0.162049049;4.901867772;2.623040381;0.009750227;0.027163095;-3.336465903;8043718
COX6A1;-0.31127527;6.195221756;-4.556746854;1.18E-05;0.000115408;2.882057058;8119153
COX6A2;-0.241409582;4.995381604;-3.971014877;0.000117521;0.000736644;0.714176689;8001041
COX6B1;0.055374479;6.618604548;1.003137351;0.317647169;0.439158686;-6.162096428;8027932
COX6B2;0.126286352;3.469186748;2.778870544;0.00625885;0.01897832;-2.941612979;8039462
COX6C;0.134846264;6.290528045;1.47520246;0.142561729;0.235565376;-5.589236598;8151993
COX7A1;-0.040697929;4.73431308;-0.693447717;0.489258474;0.608207556;-6.421049618;8036284
COX7A2;0.118301993;5.82971248;1.872426;0.063380839;0.123677815;-4.944310304;8127629
COX7A2L;-0.070103628;6.749616292;-2.173749234;0.031524722;0.070278432;-4.358680233;8051777
COX7B;0.385150952;4.702183204;3.017980543;0.003059569;0.010538373;-2.29673242;8168470
COX7B2;-0.036128387;2.377623857;-1.009691119;0.314507882;0.435541879;-6.15560839;8100127
COX7C;-0.06423922;6.742920496;-1.224732584;0.22287758;0.334060535;-5.91973559;8106776
COX8A;0.04125099;6.312742137;0.816343827;0.415788089;0.539557114;-6.329481521;7940835
COX8C;-0.083849825;3.241342906;-1.874695419;0.063065276;0.123189282;-4.940206929;7976402
CP;1.682981647;5.170150086;5.706965662;7.34E-08;1.77E-06;7.729254542;8091385
CPA1;-1.905771038;9.332317203;-4.325214035;3.00E-05;0.0002458;1.998470118;8136235
CPA2;-2.501030891;8.605732619;-4.811883238;4.06E-06;4.85E-05;3.893848658;8136187
CPA3;-0.126349523;6.038767174;-1.041173607;0.299716074;0.419690854;-6.123862212;8083260
CPA4;-0.418838981;3.700729433;-3.966463643;0.000119539;0.000747193;0.698225287;8136200
CPA5;-0.072276802;2.807051578;-2.166525831;0.032083838;0.071281481;-4.373672326;8136217
CPA6;0.325479868;2.532151205;3.469173183;0.000707465;0.003218535;-0.956052317;8151191
CPAMD8;-0.132156608;4.430156855;-3.026438038;0.002980768;0.010317112;-2.273072831;8035201
CPB1;-1.725512559;9.272476447;-4.060640885;8.38E-05;0.000563381;1.031197727;8083246
CPB2;-0.057383937;2.478605066;-1.722249553;0.087388546;0.159649754;-5.205342035;7971444
CPD;0.346571718;7.403235197;5.039612996;1.52E-06;2.13E-05;4.82904092;8006123
