GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
KANK4;-0.133159475;4.270987138;-1.197943293;0.234065699;0.377883491;-5.927814918;7916654
KANSL1;-0.168912623;6.50185686;-3.262758348;0.001556983;0.007595416;-1.638182365;8016266
KANSL1L;-0.301711042;5.23819674;-3.282286817;0.001463821;0.007239858;-1.581493344;8058570
KANSL2;-0.008016648;5.177318004;-0.148504624;0.882274791;0.92862735;-6.62436697;7962811
KANSL3;-0.028191057;5.397148684;-0.718311534;0.474414786;0.618743187;-6.379639098;8053949
KARS1;0.105096421;7.118887234;2.095899594;0.038881735;0.097930275;-4.504373474;8002919
KASH5;-0.05243971;4.083556404;-1.283731864;0.202511478;0.340495274;-5.823809605;8030299
KAT2A;-0.03906623;5.810110948;-0.712551512;0.477955644;0.621757014;-6.383711684;8015526
KAT2B;-0.700874744;6.420185366;-7.719701304;1.49E-11;2.99E-09;16.00582234;8078227
KAT5;-0.081896375;5.499968272;-2.122578109;0.036518813;0.093206755;-4.451106054;7941382
KAT6A;0.062893547;7.112539581;1.216318307;0.227025184;0.369780525;-5.906123027;8150491
KAT6B;-0.442646407;6.392772651;-5.806316039;9.35E-08;2.95E-06;7.565141441;7928491
KAT7;-0.026622194;6.389880407;-0.577862269;0.564791539;0.694981755;-6.469682672;8008213
KAT8;-0.026962111;5.33476974;-0.536731092;0.592769841;0.718527846;-6.492387126;7995055
KATNA1;0.147319443;4.53167412;2.350257591;0.020932709;0.060369416;-3.971999861;8130102
KATNAL1;0.396301421;5.494902878;3.504986858;0.000712179;0.004046429;-0.916566601;7970844
KATNAL2;-0.143968488;3.74422111;-2.867658063;0.005143871;0.019964829;-2.726470107;8021131
KATNB1;0.079353296;4.338847427;2.505857243;0.01400196;0.043913819;-3.619843142;7996137
KATNBL1;0.130491323;5.992889694;2.032853143;0.044996078;0.10945381;-4.62782381;8130071
KATNIP;0.031198531;4.797821511;0.716786599;0.475350781;0.619460195;-6.380720448;7994308
KAZALD1;0.062419372;3.428093541;1.394218689;0.166663635;0.295741132;-5.679672558;7929932
KAZN;-0.136000702;3.672352709;-2.87689517;0.00500808;0.019558749;-2.702338331;7898102
KBTBD11;-0.207340043;3.950717966;-3.346818098;0.001191784;0.006114381;-1.392288836;8144317
KBTBD12;0.148293528;3.514271636;1.33855175;0.184068197;0.317928969;-5.753721529;8082400
KBTBD13;-0.069799194;3.550181187;-1.499792579;0.137147192;0.255422378;-5.53132414;7984253
KBTBD2;0.11759137;6.172290532;2.181361799;0.03174738;0.083547412;-4.331592309;8138922
KBTBD3;-0.194982396;3.253421297;-2.816770248;0.0059545;0.0223654;-2.858254791;7951429
KBTBD4;0.137383606;6.109796951;1.922478689;0.057689351;0.133064387;-4.835646096;7947917
KBTBD6;-0.2096749;4.979776743;-3.360173038;0.001141766;0.005900011;-1.352774991;7971208
KBTBD7;-0.118005141;3.775231053;-1.6663431;0.099101228;0.200304793;-5.276452901;7971218
KBTBD8;-0.07911856;3.194997794;-1.329471349;0.187032597;0.321376349;-5.765525681;8080911
KCMF1;-0.095531119;7.996343147;-1.532840292;0.128802156;0.243653067;-5.48277064;8043105
KCNA1;-0.242042765;3.847063506;-3.887056406;0.000193075;0.001407878;0.29956649;7953274
KCNA10;-0.150137215;3.731166173;-3.020685758;0.003277806;0.013881031;-2.318461846;7918444
KCNA2;-0.152359702;2.874424465;-3.678217879;0.00039824;0.002530103;-0.376603531;7918449
KCNA3;-0.321500285;5.217729019;-2.469282423;0.015414177;0.047354674;-3.7043926;7918457
KCNA4;-0.007883626;2.534204639;-0.225996607;0.821713454;0.887701445;-6.609950145;7947270
KCNA5;-0.113469354;3.369540022;-1.817727063;0.072413321;0.158095756;-5.0229897;7953278
KCNA6;-0.217493423;3.532162907;-4.464893627;2.30E-05;0.000251217;2.302899555;7953264
KCNA7;0.06603609;2.96968409;1.619379295;0.108843929;0.215091896;-5.350883871;8038309
KCNAB1;-0.607397388;3.869108286;-4.682244187;9.92E-06;0.000126031;3.102341817;8083546
KCNAB2;0.165152312;4.908610292;1.825298774;0.071253117;0.156141357;-5.009773857;7897236
KCNAB3;-0.130351899;3.147850059;-3.531181082;0.000653006;0.003781668;-0.836171345;8012285
KCNB1;-0.169517394;4.118721273;-2.762582654;0.006945023;0.025225952;-2.996412976;8066921
KCNB2;-0.474784642;3.286219505;-3.999288233;0.00012953;0.001023173;0.673877007;8146908
KCNC1;-0.249518877;4.215152152;-5.130174344;1.64E-06;2.98E-05;4.819664535;7938738
KCNC2;-0.106217002;3.124036617;-2.352186528;0.020830857;0.06014863;-3.967755695;7964987
KCNC3;-0.2273516;4.023951281;-4.352230439;3.53E-05;0.000354715;1.897942418;8038540
KCNC4;-0.142672691;4.699878217;-2.220134643;0.028906139;0.077526136;-4.251158254;7903867
KCND1;0.053164257;3.804542098;1.173136909;0.243818003;0.389115432;-5.956591748;8172493
KCND2;0.762871538;4.484089521;5.830221055;8.42E-08;2.70E-06;7.665132589;8135705
KCND3;-0.393338984;4.087959475;-3.733269359;0.000329848;0.002178037;-0.200985869;7918558
KCNE1;-0.049659453;3.55834143;-0.930837883;0.354412804;0.505486055;-6.206795925;8070173
KCNE2;-0.00366341;2.55117926;-0.082178;0.93468657;0.961360503;-6.631969715;8068369
KCNE3;0.438770873;4.062945135;4.864451937;4.82E-06;7.05E-05;3.790052856;7950409
KCNE4;0.374890556;4.389976043;2.760490634;0.006986121;0.025352901;-3.001701636;8048749
